685,560,630,193,836,764,708,360,10,724,278,755,805,600,71,473,601,397,315,706
487,552,88,175,601,850,678,538,846,73,778,917,116,977,756,710,848,432,449,851
100,985,178,756,798,660,148,911,424,289,962,266,698,640,545,544,715,245,152,676
511,460,883,184,29,803,129,129,933,54,902,551,489,757,274,336,389,618,43,443
544,889,258,322,938,58,292,871,120,780,431,83,92,897,399,612,566,909,634,939
85,204,325,775,965,48,640,132,973,869,181,847,144,661,228,955,792,720,910,374
854,561,306,582,170,676,449,96,198,607,257,882,691,293,931,817,862,388,611,555
974,369,918,202,384,513,907,371,556,955,384,24,700,131,378,99,575,932,735,124
964,595,943,740,149,210,563,412,783,42,59,706,37,779,87,44,873,12,771,308
81,33,183,129,807,276,175,555,372,185,445,489,590,287,281,638,771,516,95,227
